msg,before,after
b'1\r\n',1582879223.7253635,1582879224.687421
b'0\r\n',1582879224.687421,1582879225.7266665
b'1\r\n',1582879225.7266665,1582879226.7099702
b'0\r\n',1582879226.7099702,1582879227.7345736
b'1\r\n',1582879227.7345736,1582879228.7671971
b'0\r\n',1582879228.7671971,1582879229.7398376
b'1\r\n',1582879229.7398376,1582879230.7722461
b'0\r\n',1582879230.7722461,1582879231.806934
b'1\r\n',1582879231.806934,1582879232.7802947
b'0\r\n',1582879232.7802947,1582879233.8031003
b'1\r\n',1582879233.8031003,1582879234.7938166
b'0\r\n',1582879234.7938166,1582879235.8240047
b'1\r\n',1582879235.8240047,1582879236.8361857
b'0\r\n',1582879236.8361857,1582879237.814116
b'1\r\n',1582879237.814116,1582879238.8537817
b'0\r\n',1582879238.8537817,1582879239.836358
b'1\r\n',1582879239.836358,1582879240.8539462
b'0\r\n',1582879240.8539462,1582879241.8435686
b'1\r\n',1582879241.8435686,1582879242.864261
b'0\r\n',1582879242.864261,1582879243.9024358
b'1\r\n',1582879243.9024358,1582879244.8686194
b'0\r\n',1582879244.8686194,1582879245.910304
b'1\r\n',1582879245.910304,1582879246.8902469
b'0\r\n',1582879246.8902469,1582879247.9149122
b'1\r\n',1582879247.9149122,1582879248.9458723
b'0\r\n',1582879248.9458723,1582879249.9196665
b'1\r\n',1582879249.9196665,1582879250.9516754
b'0\r\n',1582879250.9516754,1582879251.9306962
b'1\r\n',1582879251.9306962,1582879252.9553757
b'0\r\n',1582879252.9553757,1582879253.9843347
b'1\r\n',1582879253.9843347,1582879254.96268
b'0\r\n',1582879254.96268,1582879255.9867659
b'1\r\n',1582879255.9867659,1582879256.9647813
b'0\r\n',1582879256.9647813,1582879258.002316
b'1\r\n',1582879258.002316,1582879259.0149934
b'0\r\n',1582879259.0149934,1582879260.0040755
b'1\r\n',1582879260.0040755,1582879261.0363085
b'0\r\n',1582879261.0363085,1582879262.0178537
b'1\r\n',1582879262.0178537,1582879263.04599
b'0\r\n',1582879263.04599,1582879264.0659757
b'1\r\n',1582879264.0659757,1582879265.049671
b'0\r\n',1582879265.049671,1582879266.0708933
b'1\r\n',1582879266.0708933,1582879267.0585692
b'0\r\n',1582879267.0585692,1582879268.0897322
b'1\r\n',1582879268.0897322,1582879269.062393
b'0\r\n',1582879269.062393,1582879270.0917993
b'1\r\n',1582879270.0917993,1582879271.0839632
b'0\r\n',1582879271.0839632,1582879272.1006436
b'1\r\n',1582879272.1006436,1582879273.0870051
b'0\r\n',1582879273.0870051,1582879274.1143973
b'1\r\n',1582879274.1143973,1582879275.0845475
b'0\r\n',1582879275.0845475,1582879276.1197214
b'1\r\n',1582879276.1197214,1582879277.091843
b'0\r\n',1582879277.091843,1582879278.1233487
b'1\r\n',1582879278.1233487,1582879279.098324
b'0\r\n',1582879279.098324,1582879280.1426675
b'1\r\n',1582879280.1426675,1582879281.1632135
b'0\r\n',1582879281.1632135,1582879282.1434538
b'1\r\n',1582879282.1434538,1582879283.1648722
b'0\r\n',1582879283.1648722,1582879284.1426547
b'1\r\n',1582879284.1426547,1582879285.179734
b'0\r\n',1582879285.179734,1582879286.2113628
b'1\r\n',1582879286.2113628,1582879287.1727371
b'0\r\n',1582879287.188194,1582879288.2123346
b'1\r\n',1582879288.2123346,1582879289.240886
b'0\r\n',1582879289.240886,1582879290.2131608
b'1\r\n',1582879290.2131608,1582879291.248058
b'0\r\n',1582879291.248058,1582879292.2305477
b'1\r\n',1582879292.2305477,1582879293.259715
b'0\r\n',1582879293.259715,1582879294.2307136
b'1\r\n',1582879294.2307136,1582879295.2703907
b'0\r\n',1582879295.2703907,1582879296.300359
b'1\r\n',1582879296.300359,1582879297.276773
b'0\r\n',1582879297.276773,1582879298.3070223
b'1\r\n',1582879298.3070223,1582879299.3361557
b'0\r\n',1582879299.3361557,1582879300.3107572
b'1\r\n',1582879300.3107572,1582879301.3264883
b'0\r\n',1582879301.3264883,1582879302.3132644
b'',1582879302.3132644,1582879304.3281708
b'1\r\n',1582879304.3281708,1582879305.346846
b'0\r\n',1582879305.346846,1582879306.3878756
b'1\r\n',1582879306.3878756,1582879307.4130187
b'0\r\n',1582879307.4130187,1582879308.3946145
b'1\r\n',1582879308.3946145,1582879309.4265392
b'0\r\n',1582879309.4265392,1582879310.3944275
b'1\r\n',1582879310.3944275,1582879311.4295611
b'0\r\n',1582879311.4295611,1582879312.4525807
b'1\r\n',1582879312.4525807,1582879313.4386892
b'0\r\n',1582879313.4386892,1582879314.4594839
b'1\r\n',1582879314.4594839,1582879315.4984767
b'0\r\n',1582879315.4984767,1582879316.5131476
b'1\r\n',1582879316.5131476,1582879317.494478
b'0\r\n',1582879317.494478,1582879318.524052
b'1\r\n',1582879318.524052,1582879319.557261
b'0\r\n',1582879319.557261,1582879320.5405977
b'1\r\n',1582879320.5405977,1582879321.5585387
b'0\r\n',1582879321.5585387,1582879322.5882845
b'1\r\n',1582879322.5882845,1582879323.5603528
b'0\r\n',1582879323.5603528,1582879324.5942714
b'1\r\n',1582879324.5942714,1582879325.5860012
b'0\r\n',1582879325.5860012,1582879326.6028306
b'1\r\n',1582879326.6028306,1582879327.6368265
b'0\r\n',1582879327.6368265,1582879328.6205156
b'1\r\n',1582879328.6205156,1582879329.651166
b'0\r\n',1582879329.651166,1582879330.6215825
b'1\r\n',1582879330.6215825,1582879331.6521657
b'0\r\n',1582879331.6521657,1582879332.6234343
b'1\r\n',1582879332.6234343,1582879333.6568186
b'0\r\n',1582879333.6568186,1582879334.690647
b'1\r\n',1582879334.690647,1582879335.6705525
b'0\r\n',1582879335.6705525,1582879336.6860135
b'1\r\n',1582879336.6860135,1582879337.6623778
b'0\r\n',1582879337.6623778,1582879338.7044048
b'1\r\n',1582879338.7044048,1582879339.6833084
b'0\r\n',1582879339.6833084,1582879340.7081697
b'1\r\n',1582879340.7081697,1582879341.689782
b'0\r\n',1582879341.689782,1582879342.7226467
b'',1582879342.7226467,1582879344.738806
