msg,before,after
b'1\r\n',1582882098.7853985,1582882099.7697437
b'0\r\n',1582882099.7697437,1582882100.8009858
b'1\r\n',1582882100.8009858,1582882101.7927172
b'0\r\n',1582882101.7927172,1582882102.8083441
b'1\r\n',1582882102.8083441,1582882103.839592
b'0\r\n',1582882103.839592,1582882104.8239715
b'1\r\n',1582882104.8239715,1582882105.808344
b'0\r\n',1582882105.808344,1582882106.8395934
b'1\r\n',1582882106.8395934,1582882107.8708708
b'0\r\n',1582882107.8708708,1582882108.8552556
b'1\r\n',1582882108.8552556,1582882109.8864682
b'0\r\n',1582882109.8864682,1582882110.8708427
b'1\r\n',1582882110.8708427,1582882111.8937256
b'0\r\n',1582882111.8937256,1582882112.890097
b'1\r\n',1582882112.890097,1582882113.9213555
b'0\r\n',1582882113.9213555,1582882114.9525955
b'1\r\n',1582882114.9525955,1582882115.9369805
b'0\r\n',1582882115.9369805,1582882116.968226
b'1\r\n',1582882116.968226,1582882117.9525988
b'0\r\n',1582882117.9525988,1582882118.983844
b'1\r\n',1582882118.983844,1582882119.9682243
b'0\r\n',1582882119.9682243,1582882120.9997427
b'1\r\n',1582882120.9997427,1582882121.9684496
b'0\r\n',1582882121.9684496,1582882123.0153751
b'1\r\n',1582882123.0153751,1582882124.0465708
b'0\r\n',1582882124.0465708,1582882125.0309432
b'1\r\n',1582882125.0309432,1582882125.9996932
b'0\r\n',1582882125.9996932,1582882127.031044
b'1\r\n',1582882127.031044,1582882128.0153205
b'0\r\n',1582882128.0153205,1582882129.0621867
b'1\r\n',1582882129.0621867,1582882130.0309458
b'0\r\n',1582882130.0309458,1582882131.0778153
b'1\r\n',1582882131.0778153,1582882132.04657
b'0\r\n',1582882132.04657,1582882133.0932906
b'1\r\n',1582882133.0932906,1582882134.0643256
b'0\r\n',1582882134.0643256,1582882135.0959036
b'1\r\n',1582882135.0959036,1582882136.080283
b'0\r\n',1582882136.080283,1582882137.1114762
b'1\r\n',1582882137.1114762,1582882138.1427314
b'0\r\n',1582882138.1427314,1582882139.1271083
b'1\r\n',1582882139.1271083,1582882140.1583624
b'0\r\n',1582882140.1583624,1582882141.1543522
b'1\r\n',1582882141.1543522,1582882142.1705077
b'0\r\n',1582882142.1705077,1582882143.154876
b'1\r\n',1582882143.154876,1582882144.189958
b'0\r\n',1582882144.189958,1582882145.181204
b'1\r\n',1582882145.181204,1582882146.202581
b'0\r\n',1582882146.202581,1582882147.233838
b'1\r\n',1582882147.233838,1582882148.2182066
b'0\r\n',1582882148.2182066,1582882149.2026765
b'1\r\n',1582882149.2026765,1582882150.2338374
b'0\r\n',1582882150.2338374,1582882151.218203
b'1\r\n',1582882151.218203,1582882152.2494597
b'0\r\n',1582882152.2494597,1582882153.2807112
b'1\r\n',1582882153.2807112,1582882154.2650878
b'0\r\n',1582882154.2650878,1582882155.2532866
b'1\r\n',1582882155.2532866,1582882156.2845337
b'0\r\n',1582882156.2845337,1582882157.2689228
b'1\r\n',1582882157.2689228,1582882158.2843177
b'0\r\n',1582882158.2843177,1582882159.2691917
b'1\r\n',1582882159.2691917,1582882160.3005369
b'0\r\n',1582882160.3005369,1582882161.2974699
b'1\r\n',1582882161.2974699,1582882162.328723
b'0\r\n',1582882162.328723,1582882163.3443356
b'1\r\n',1582882163.3443356,1582882164.3287208
b'0\r\n',1582882164.3287208,1582882165.3755832
b'1\r\n',1582882165.3755832,1582882166.3443298
b'0\r\n',1582882166.3443298,1582882167.3287392
b'1\r\n',1582882167.3287392,1582882168.359957
b'0\r\n',1582882168.359957,1582882169.3914888
b'1\r\n',1582882169.3914888,1582882170.375866
b'0\r\n',1582882170.375866,1582882171.4071186
b'1\r\n',1582882171.4071186,1582882172.3914907
b'0\r\n',1582882172.3914907,1582882173.4227493
b'1\r\n',1582882173.4227493,1582882174.4071162
b'0\r\n',1582882174.4071162,1582882175.4383657
b'1\r\n',1582882175.4383657,1582882176.4090335
b'0\r\n',1582882176.4090335,1582882177.3934054
b'1\r\n',1582882177.3934054,1582882178.424648
b'0\r\n',1582882178.424648,1582882179.4090269
b'1\r\n',1582882179.4090269,1582882180.4402761
b'0\r\n',1582882180.4402761,1582882181.424656
b'1\r\n',1582882181.424656,1582882182.4559014
b'0\r\n',1582882182.4559014,1582882183.4402783
b'1\r\n',1582882183.4402783,1582882184.4715195
b'0\r\n',1582882184.4715195,1582882185.5027866
b'1\r\n',1582882185.5027866,1582882186.534028
b'0\r\n',1582882186.534028,1582882187.5184174
b'1\r\n',1582882187.5184174,1582882188.549751
b'0\r\n',1582882188.549751,1582882189.5340385
b'1\r\n',1582882189.5340385,1582882190.5652788
b'0\r\n',1582882190.5652788,1582882191.5496583
b'1\r\n',1582882191.5496583,1582882192.580908
b'0\r\n',1582882192.580908,1582882193.5652678
b'1\r\n',1582882193.5652678,1582882194.5963137
b'0\r\n',1582882194.5963137,1582882195.5808911
b'1\r\n',1582882195.5808911,1582882196.59851
b'0\r\n',1582882196.59851,1582882197.582834
b'1\r\n',1582882197.582834,1582882198.5672028
b'0\r\n',1582882198.5672028,1582882199.5984585
b'1\r\n',1582882199.5984585,1582882200.5828333
b'0\r\n',1582882200.5828333,1582882201.6130316
b'1\r\n',1582882201.6130316,1582882202.6443715
b'0\r\n',1582882202.6443715,1582882203.6287405
b'1\r\n',1582882203.6287405,1582882204.659992
b'0\r\n',1582882204.659992,1582882205.6519873
b'1\r\n',1582882205.6519873,1582882206.6171288
b'0\r\n',1582882206.6171288,1582882207.6483712
b'1\r\n',1582882207.6483712,1582882208.6952477
b'0\r\n',1582882208.6952477,1582882209.6640005
b'1\r\n',1582882209.6640005,1582882210.695222
b'0\r\n',1582882210.695222,1582882211.6796203
b'1\r\n',1582882211.6796203,1582882212.7108715
b'0\r\n',1582882212.7108715,1582882213.6952493
b'1\r\n',1582882213.6952493,1582882214.7265003
b'0\r\n',1582882214.7265003,1582882215.7106953
b'1\r\n',1582882215.7106953,1582882216.7438545
b'0\r\n',1582882216.7438545,1582882217.728393
b'1\r\n',1582882217.728393,1582882218.759634
b'0\r\n',1582882218.759634,1582882219.7909813
b'1\r\n',1582882219.7909813,1582882220.7752619
b'0\r\n',1582882220.7752619,1582882221.8065186
b'1\r\n',1582882221.8065186,1582882222.7902524
b'0\r\n',1582882222.7902524,1582882223.8138325
b'1\r\n',1582882223.8138325,1582882224.8453667
b'0\r\n',1582882224.8453667,1582882225.8297439
b'1\r\n',1582882225.8297439,1582882226.8609984
b'0\r\n',1582882226.8609984,1582882227.845369
b'1\r\n',1582882227.845369,1582882228.8766203
b'0\r\n',1582882228.8766203,1582882229.860995
b'1\r\n',1582882229.860995,1582882230.8922422
b'0\r\n',1582882230.8922422,1582882231.8766196
b'1\r\n',1582882231.8766196,1582882232.9011252
b'0\r\n',1582882232.9011252,1582882233.8855035
b'1\r\n',1582882233.8855035,1582882234.9170327
b'0\r\n',1582882234.9170327,1582882235.9013984
b'1\r\n',1582882235.9013984,1582882236.925077
b'0\r\n',1582882236.925077,1582882237.909761
b'1\r\n',1582882237.909761,1582882238.956416
b'0\r\n',1582882238.956416,1582882239.9253864
b'1\r\n',1582882239.9253864,1582882240.9567258
b'0\r\n',1582882240.9567258,1582882241.9410245
b'1\r\n',1582882241.9410245,1582882242.972259
b'0\r\n',1582882242.972259,1582882243.9566388
b'1\r\n',1582882243.9566388,1582882244.987884
b'0\r\n',1582882244.987884,1582882245.9722655
b'1\r\n',1582882245.9722655,1582882247.0035117
b'0\r\n',1582882247.0035117,1582882247.990689
b'1\r\n',1582882247.990689,1582882249.0219402
b'0\r\n',1582882249.0219402,1582882250.0375597
b'1\r\n',1582882250.0375597,1582882251.0219367
b'0\r\n',1582882251.0219367,1582882252.0063066
b'1\r\n',1582882252.0063066,1582882253.0375671
b'0\r\n',1582882253.0375671,1582882254.0688157
b'1\r\n',1582882254.0688157,1582882255.053191
b'0\r\n',1582882255.053191,1582882256.0844562
b'1\r\n',1582882256.0844562,1582882257.068815
b'0\r\n',1582882257.068815,1582882258.0531876
b'1\r\n',1582882258.0531876,1582882259.0844328
b'0\r\n',1582882259.0844328,1582882260.0685942
b'1\r\n',1582882260.0685942,1582882261.1001956
b'0\r\n',1582882261.1001956,1582882262.073032
b'1\r\n',1582882262.073032,1582882263.104206
b'0\r\n',1582882263.104206,1582882264.0887368
b'1\r\n',1582882264.0887368,1582882265.1199567
b'0\r\n',1582882265.1199567,1582882266.109458
b'1\r\n',1582882266.109458,1582882267.1407378
b'0\r\n',1582882267.1407378,1582882268.1094863
b'1\r\n',1582882268.1094863,1582882269.109494
b'0\r\n',1582882269.109494,1582882270.125201
b'1\r\n',1582882270.125201,1582882271.156357
b'0\r\n',1582882271.156357,1582882272.1407416
b'1\r\n',1582882272.1407416,1582882273.171982
b'0\r\n',1582882273.171982,1582882274.203233
b'1\r\n',1582882274.203233,1582882275.1875923
b'0\r\n',1582882275.1875923,1582882276.2188628
b'1\r\n',1582882276.2188628,1582882277.203205
b'0\r\n',1582882277.203205,1582882278.1904287
b'1\r\n',1582882278.1904287,1582882279.2062657
b'0\r\n',1582882279.2062657,1582882280.2062647
b'1\r\n',1582882280.2062647,1582882281.2299106
b'0\r\n',1582882281.2299106,1582882282.2611635
b'1\r\n',1582882282.2611635,1582882283.2453191
b'0\r\n',1582882283.2453191,1582882284.2765675
b'1\r\n',1582882284.2765675,1582882285.2639377
b'0\r\n',1582882285.2639377,1582882286.2483122
b'1\r\n',1582882286.2483122,1582882287.263937
b'0\r\n',1582882287.263937,1582882288.305023
b'1\r\n',1582882288.305023,1582882289.2893956
b'0\r\n',1582882289.2893956,1582882290.3206933
b'1\r\n',1582882290.3206933,1582882291.289395
b'0\r\n',1582882291.289395,1582882292.3206458
b'1\r\n',1582882292.3206458,1582882293.3050218
b'0\r\n',1582882293.3050218,1582882294.3362832
b'1\r\n',1582882294.3362832,1582882295.3209689
b'0\r\n',1582882295.3209689,1582882296.3521214
b'1\r\n',1582882296.3521214,1582882297.336501
b'0\r\n',1582882297.336501,1582882298.3677125
b'1\r\n',1582882298.3677125,1582882299.3384874
b'0\r\n',1582882299.3384874,1582882300.3231547
b'1\r\n',1582882300.3231547,1582882301.3543954
b'0\r\n',1582882301.3543954,1582882302.338779
b'1\r\n',1582882302.338779,1582882303.3701172
b'0\r\n',1582882303.3701172,1582882304.4012408
b'1\r\n',1582882304.4012408,1582882305.3856525
b'0\r\n',1582882305.3856525,1582882306.3700244
b'1\r\n',1582882306.3700244,1582882307.4012535
b'0\r\n',1582882307.4012535,1582882308.3856535
b'1\r\n',1582882308.3856535,1582882309.4168856
b'0\r\n',1582882309.4168856,1582882310.385468
b'1\r\n',1582882310.385468,1582882311.370027
b'0\r\n',1582882311.370027,1582882312.4012663
b'1\r\n',1582882312.4012663,1582882313.4324899
b'0\r\n',1582882313.4324899,1582882314.4168823
b'1\r\n',1582882314.4168823,1582882315.4481356
b'0\r\n',1582882315.4481356,1582882316.433683
b'1\r\n',1582882316.433683,1582882317.4647095
b'0\r\n',1582882317.4647095,1582882318.4400363
b'1\r\n',1582882318.4400363,1582882319.4734626
b'0\r\n',1582882319.4734626,1582882320.4640152
b'1\r\n',1582882320.4640152,1582882321.4953752
b'0\r\n',1582882321.4953752,1582882322.464101
b'1\r\n',1582882322.464101,1582882323.506574
b'0\r\n',1582882323.506574,1582882324.4810746
b'1\r\n',1582882324.4810746,1582882325.5241733
b'0\r\n',1582882325.5241733,1582882326.493155
b'1\r\n',1582882326.493155,1582882327.4775312
b'0\r\n',1582882327.4775312,1582882328.5087826
b'1\r\n',1582882328.5087826,1582882329.496974
b'0\r\n',1582882329.496974,1582882330.528239
b'1\r\n',1582882330.528239,1582882331.5126195
b'0\r\n',1582882331.5126195,1582882332.5282414
b'1\r\n',1582882332.5282414,1582882333.5282378
b'0\r\n',1582882333.5282378,1582882334.5438657
b'1\r\n',1582882334.5438657,1582882335.5749075
b'0\r\n',1582882335.5749075,1582882336.5594938
b'1\r\n',1582882336.5594938,1582882337.5907474
b'0\r\n',1582882337.5907474,1582882338.5751228
b'1\r\n',1582882338.5751228,1582882339.6063647
b'0\r\n',1582882339.6063647,1582882340.5927408
b'1\r\n',1582882340.5927408,1582882341.616846
b'0\r\n',1582882341.616846,1582882342.6015084
b'1\r\n',1582882342.6015084,1582882343.6328487
b'0\r\n',1582882343.6328487,1582882344.6169093
b'1\r\n',1582882344.6169093,1582882345.6481574
b'0\r\n',1582882345.6481574,1582882346.6325333
b'1\r\n',1582882346.6325333,1582882347.6637306
b'0\r\n',1582882347.6637306,1582882348.6947613
b'1\r\n',1582882348.6947613,1582882349.6791353
b'0\r\n',1582882349.6791353,1582882350.7088645
b'1\r\n',1582882350.7088645,1582882351.6785567
b'0\r\n',1582882351.6785567,1582882352.7240677
b'1\r\n',1582882352.7240677,1582882353.7474837
b'0\r\n',1582882353.7474837,1582882354.7318604
b'1\r\n',1582882354.7318604,1582882355.7631094
b'0\r\n',1582882355.7631094,1582882356.7474835
b'1\r\n',1582882356.7474835,1582882357.7787333
b'0\r\n',1582882357.7787333,1582882358.7631094
b'1\r\n',1582882358.7631094,1582882359.7943587
b'0\r\n',1582882359.7943587,1582882360.7787364
b'1\r\n',1582882360.7787364,1582882361.7943575
b'0\r\n',1582882361.7943575,1582882362.7943594
b'1\r\n',1582882362.7943594,1582882363.8099844
b'0\r\n',1582882363.8099844,1582882364.7943592
b'1\r\n',1582882364.7943592,1582882365.825608
b'0\r\n',1582882365.825608,1582882363.5556388
b'1\r\n',1582882363.5556388,1582882364.5556366
b'0\r\n',1582882364.5556366,1582882365.5708363
b'1\r\n',1582882365.5708363,1582882366.570836
b'0\r\n',1582882366.570836,1582882367.595954
b'1\r\n',1582882367.595954,1582882368.5647047
b'0\r\n',1582882368.5647047,1582882369.5959544
b'1\r\n',1582882369.5959544,1582882370.5959556
b'0\r\n',1582882370.5959556,1582882371.6115878
b'1\r\n',1582882371.6115878,1582882372.5959606
b'0\r\n',1582882372.5959606,1582882373.627242
b'1\r\n',1582882373.627242,1582882374.6115785
b'0\r\n',1582882374.6115785,1582882375.64302
b'1\r\n',1582882375.64302,1582882376.627428
b'0\r\n',1582882376.627428,1582882377.6586719
b'1\r\n',1582882377.6586719,1582882378.6475284
b'0\r\n',1582882378.6475284,1582882379.616283
b'1\r\n',1582882379.616283,1582882380.6475334
b'0\r\n',1582882380.6475334,1582882381.6787767
b'1\r\n',1582882381.6787767,1582882382.6618247
b'0\r\n',1582882382.6618247,1582882383.6932962
b'1\r\n',1582882383.6932962,1582882384.6776032
b'0\r\n',1582882384.6776032,1582882385.7040832
b'1\r\n',1582882385.7040832,1582882386.7353323
b'0\r\n',1582882386.7353323,1582882387.7200794
b'1\r\n',1582882387.7200794,1582882388.7513301
b'0\r\n',1582882388.7513301,1582882389.7356172
b'1\r\n',1582882389.7356172,1582882390.766863
b'0\r\n',1582882390.766863,1582882391.7357101
b'1\r\n',1582882391.7357101,1582882392.7669137
b'0\r\n',1582882392.7669137,1582882393.7981186
b'1\r\n',1582882393.7981186,1582882394.7824917
b'0\r\n',1582882394.7824917,1582882395.8137395
b'1\r\n',1582882395.8137395,1582882396.8449793
b'0\r\n',1582882396.8449793,1582882397.8377502
b'1\r\n',1582882397.8377502,1582882398.853611
b'0\r\n',1582882398.853611,1582882399.849179
b'1\r\n',1582882399.849179,1582882400.880426
b'0\r\n',1582882400.880426,1582882401.864802
b'1\r\n',1582882401.864802,1582882402.8804288
b'0\r\n',1582882402.8804288,1582882403.911674
b'1\r\n',1582882403.911674,1582882404.8960576
b'0\r\n',1582882404.8960576,1582882405.9308832
b'1\r\n',1582882405.9308832,1582882406.9002092
b'0\r\n',1582882406.9002092,1582882407.9314628
b'1\r\n',1582882407.9314628,1582882408.9158325
b'0\r\n',1582882408.9158325,1582882409.9470832
b'1\r\n',1582882409.9470832,1582882410.9293847
b'0\r\n',1582882410.9293847,1582882411.9606276
b'1\r\n',1582882411.9606276,1582882412.991876
b'0\r\n',1582882412.991876,1582882413.9762588
b'1\r\n',1582882413.9762588,1582882415.0075057
b'0\r\n',1582882415.0075057,1582882415.9762595
b'1\r\n',1582882415.9762595,1582882417.0072849
b'0\r\n',1582882417.0072849,1582882417.9918814
b'1\r\n',1582882417.9918814,1582882419.023135
b'0\r\n',1582882419.023135,1582882420.0543835
b'1\r\n',1582882420.0543835,1582882421.038753
