before,msg,after
1582727532.8551788,b'0\r\n',1582727533.823835
1582727533.823835,b'1\r\n',1582727535.292587
1582727535.292587,b'0\r\n',1582727536.2772355
1582727536.2772355,b'1\r\n',1582727537.2458537
1582727537.2458537,b'0\r\n',1582727538.2301433
1582727538.2301433,b'1\r\n',1582727539.2145216
1582727539.2145216,b'0\r\n',1582727540.1834888
1582727540.1834888,b'1\r\n',1582727541.1678727
1582727541.1678727,b'0\r\n',1582727542.136621
1582727542.136621,b'1\r\n',1582727543.120991
1582727543.120991,b'0\r\n',1582727544.091435
1582727544.091435,b'1\r\n',1582727545.075806
1582727545.075806,b'0\r\n',1582727546.0445602
1582727546.0445602,b'1\r\n',1582727547.0213168
1582727547.0213168,b'0\r\n',1582727548.0056922
1582727548.0056922,b'1\r\n',1582727548.9903286
1582727548.9903286,b'0\r\n',1582727549.9590902
1582727549.9590902,b'0\r\n',1582727550.9434655
1582727550.9434655,b'1\r\n',1582727551.4276123
1582727551.4276123,b'0\r\n',1582727552.4121747
1582727552.4121747,b'1\r\n',1582727553.3809636
1582727553.3809636,b'0\r\n',1582727554.357447
1582727554.357447,b'1\r\n',1582727555.3418255
1582727555.3418255,b'0\r\n',1582727556.3203151
1582727556.3203151,b'1\r\n',1582727557.2928677
1582727557.2928677,b'0\r\n',1582727558.277015
1582727558.277015,b'1\r\n',1582727559.2459786
1582727559.2459786,b'0\r\n',1582727560.2303576
1582727560.2303576,b'1\r\n',1582727561.2101853
1582727561.2101853,b'0\r\n',1582727562.1791506
1582727562.1791506,b'1\r\n',1582727563.1635375
1582727563.1635375,b'0\r\n',1582727564.132277
1582727564.132277,b'1\r\n',1582727565.1236935
1582727565.1236935,b'0\r\n',1582727566.0922248
1582727566.0922248,b'1\r\n',1582727567.0681443
1582727567.0681443,b'0\r\n',1582727568.0525184
1582727568.0525184,b'0\r\n',1582727568.5368972
1582727568.5368972,b'1\r\n',1582727569.5212655
1582727569.5212655,b'0\r\n',1582727570.4961674
1582727570.4961674,b'1\r\n',1582727571.464918
1582727571.464918,b'0\r\n',1582727572.4492824
1582727572.4492824,b'1\r\n',1582727573.4336722
1582727573.4336722,b'0\r\n',1582727574.402415
1582727574.402415,b'1\r\n',1582727575.3867948
1582727575.3867948,b'0\r\n',1582727576.3555403
1582727576.3555403,b'1\r\n',1582727577.3399224
1582727577.3399224,b'0\r\n',1582727578.3085995
1582727578.3085995,b'1\r\n',1582727579.2930353
1582727579.2930353,b'0\r\n',1582727580.277412
1582727580.277412,b'1\r\n',1582727581.2461615
1582727581.2461615,b'0\r\n',1582727582.2305455
1582727582.2305455,b'1\r\n',1582727583.199293
1582727583.199293,b'0\r\n',1582727584.1836717
1582727584.1836717,b'1\r\n',1582727585.15436
1582727585.15436,b'0\r\n',1582727586.622935
1582727586.622935,b'1\r\n',1582727587.5996313
1582727587.5996313,b'0\r\n',1582727588.5842514
1582727588.5842514,b'1\r\n',1582727589.5686407
1582727589.5686407,b'0\r\n',1582727590.5373755
1582727590.5373755,b'1\r\n',1582727591.5217586
1582727591.5217586,b'0\r\n',1582727592.4904718
1582727592.4904718,b'1\r\n',1582727593.4748776
1582727593.4748776,b'0\r\n',1582727594.4436321
1582727594.4436321,b'1\r\n',1582727595.421434
1582727595.421434,b'0\r\n',1582727596.4055893
1582727596.4055893,b'1\r\n',1582727597.3804712
1582727597.3804712,b'0\r\n',1582727598.364846
