1582724718.3413615,b'0\r\n',1582724723.9662662
1582724723.9662662,b'1\r\n',1582724724.9383373
1582724724.9383373,b'0\r\n',1582724725.9106681
1582724725.9106681,b'1\r\n',1582724726.8950431
1582724726.8950431,b'0\r\n',1582724727.8637927
1582724727.8637927,b'1\r\n',1582724728.848163
1582724728.848163,b'0\r\n',1582724729.8213253
1582724729.8213253,b'1\r\n',1582724730.8058794
1582724730.8058794,b'0\r\n',1582724731.7746642
1582724731.7746642,b'1\r\n',1582724732.7590415
1582724732.7590415,b'0\r\n',1582724734.228012
1582724734.228012,b'1\r\n',1582724735.2057424
1582724735.2057424,b'0\r\n',1582724736.1745112
1582724736.1745112,b'1\r\n',1582724737.1553566
1582724737.1553566,b'0\r\n',1582724738.124134
1582724738.124134,b'1\r\n',1582724739.1089783
1582724739.1089783,b'0\r\n',1582724740.0933547
1582724740.0933547,b'1\r\n',1582724741.0621092
1582724741.0621092,b'0\r\n',1582724742.0356684
1582724742.0356684,b'1\r\n',1582724743.0198238
1582724743.0198238,b'0\r\n',1582724744.0006638
1582724744.0006638,b'1\r\n',1582724744.9691875
1582724744.9691875,b'0\r\n',1582724745.9537518
1582724745.9537518,b'1\r\n',1582724746.9255137
1582724746.9255137,b'0\r\n',1582724747.9133668
1582724747.9133668,b'1\r\n',1582724748.8877428
1582724748.8877428,b'0\r\n',1582724749.8569534
1582724749.8569534,b'0\r\n',1582724750.3569484
1582724750.3569484,b'1\r\n',1582724751.3257039
1582724751.3257039,b'0\r\n',1582724752.310088
1582724752.310088,b'1\r\n',1582724753.2943616
1582724753.2943616,b'0\r\n',1582724754.263199
1582724754.263199,b'1\r\n',1582724755.2473948
1582724755.2473948,b'0\r\n',1582724756.223695
1582724756.223695,b'1\r\n',1582724757.1924427
1582724757.1924427,b'0\r\n',1582724758.165519
1582724758.165519,b'1\r\n',1582724759.1502917
1582724759.1502917,b'0\r\n',1582724760.1344454
1582724760.1344454,b'1\r\n',1582724761.1034076
1582724761.1034076,b'0\r\n',1582724762.072166
1582724762.072166,b'1\r\n',1582724763.0565426
1582724763.0565426,b'0\r\n',1582724764.0409148
1582724764.0409148,b'1\r\n',1582724765.497706
1582724765.497706,b'0\r\n',1582724766.4880826
1582724766.4880826,b'1\r\n',1582724767.4568295
1582724767.4568295,b'0\r\n',1582724768.5069265
1582724768.5069265,b'1\r\n',1582724769.4132144
1582724769.4132144,b'0\r\n',1582724770.3819215
1582724770.3819215,b'1\r\n',1582724771.3660753
1582724771.3660753,b'0\r\n',1582724772.3350406
1582724772.3350406,b'1\r\n',1582724773.3194137
1582724773.3194137,b'0\r\n',1582724774.2881708
1582724774.2881708,b'1\r\n',1582724775.2749333
1582724775.2749333,b'0\r\n',1582724776.243681
1582724776.243681,b'1\r\n',1582724777.2237377
1582724777.2237377,b'0\r\n',1582724778.2081127
1582724778.2081127,b'1\r\n',1582724779.1771135
1582724779.1771135,b'0\r\n',1582724780.1627314
1582724780.1627314,b'0\r\n',1582724780.6471071
1582724780.6471071,b'1\r\n',1582724781.6313019
1582724781.6313019,b'0\r\n',1582724782.600217
1582724782.600217,b'1\r\n',1582724783.5846128
1582724783.5846128,b'0\r\n',1582724784.5533504
1582724784.5533504,b'1\r\n',1582724785.5380237
1582724785.5380237,b'0\r\n',1582724786.5067718
1582724786.5067718,b'1\r\n',1582724787.491141
1582724787.491141,b'0\r\n',1582724788.4598956
1582724788.4598956,b'1\r\n',1582724789.444274
1582724789.444274,b'0\r\n',1582724790.4286404
1582724790.4286404,b'1\r\n',1582724791.3975673
1582724791.3975673,b'0\r\n',1582724792.3821466
1582724792.3821466,b'1\r\n',1582724793.3509095
1582724793.3509095,b'0\r\n',1582724794.3287463
1582724794.3287463,b'1\r\n',1582724795.3131154
1582724795.3131154,b'0\r\n',1582724796.282089
1582724796.282089,b'0\r\n',1582724796.773378
1582724796.773378,b'1\r\n',1582724797.7563636
1582724797.7563636,b'0\r\n',1582724798.7268255
1582724798.7268255,b'1\r\n',1582724799.70409
1582724799.70409,b'0\r\n',1582724800.6884742
1582724800.6884742,b'1\r\n',1582724801.6628952
1582724801.6628952,b'0\r\n',1582724802.6395178
1582724802.6395178,b'1\r\n',1582724803.608275
1582724803.608275,b'0\r\n',1582724804.5846705
1582724804.5846705,b'1\r\n',1582724805.56905
1582724805.56905,b'0\r\n',1582724806.5534217
1582724806.5534217,b'1\r\n',1582724807.5221717
1582724807.5221717,b'0\r\n',1582724808.4939888
1582724808.4939888,b'1\r\n',1582724809.4781728
