msg,before,after
b'4095\r\n',1583312563860593000,1583312564860552000
b'4095\r\n',1583312564860567000,1583312565860543000
b'4095\r\n',1583312565860558000,1583312566860508000
b'4095\r\n',1583312566860521000,1583312567860508000
b'4095\r\n',1583312567860522000,1583312568860372000
b'4095\r\n',1583312568860382000,1583312569860485000
b'4095\r\n',1583312569860499000,1583312570860478000
b'4095\r\n',1583312570860492000,1583312571860470000
b'4095\r\n',1583312571860484000,1583312572860593000
b'4095\r\n',1583312572860608000,1583312573860592000
b'4095\r\n',1583312573860606000,1583312574860607000
b'4095\r\n',1583312574860621000,1583312575860532000
b'4095\r\n',1583312575860546000,1583312576860527000
b'4095\r\n',1583312576860540000,1583312577860613000
b'4095\r\n',1583312577860627000,1583312578860593000
b'4095\r\n',1583312578860607000,1583312579860597000
b'4095\r\n',1583312579860612000,1583312580860589000
b'4095\r\n',1583312580860603000,1583312581860588000
b'4095\r\n',1583312581860603000,1583312582860569000
b'4095\r\n',1583312582860583000,1583312583860780000
b'4095\r\n',1583312583860795000,1583312584860570000
b'4095\r\n',1583312584860592000,1583312585860588000
b'4095\r\n',1583312585860603000,1583312586860672000
b'4095\r\n',1583312586860686000,1583312587860633000
b'4095\r\n',1583312587860648000,1583312588856574000
b'4095\r\n',1583312588856589000,1583312589860672000
b'4095\r\n',1583312589860685000,1583312590860608000
b'4095\r\n',1583312590860622000,1583312591860641000
b'4095\r\n',1583312591860686000,1583312592860687000
b'4095\r\n',1583312592860701000,1583312593860692000
b'4095\r\n',1583312593860707000,1583312594860728000
b'4095\r\n',1583312594860957000,1583312595860644000
b'4095\r\n',1583312595860658000,1583312596860719000
b'4095\r\n',1583312596860733000,1583312597860708000
b'4095\r\n',1583312597860722000,1583312598860728000
b'4095\r\n',1583312598860742000,1583312599860657000
b'4095\r\n',1583312599860672000,1583312600860727000
b'4095\r\n',1583312600860740000,1583312601860736000
b'4095\r\n',1583312601860751000,1583312602860734000
b'4095\r\n',1583312602860747000,1583312603860725000
b'4095\r\n',1583312603860740000,1583312604860740000
b'4095\r\n',1583312604860754000,1583312605860680000
b'4095\r\n',1583312605860693000,1583312606860770000
b'4095\r\n',1583312606860784000,1583312607860870000
b'4095\r\n',1583312607860884000,1583312608860689000
b'4095\r\n',1583312608860703000,1583312609860770000
b'4095\r\n',1583312609860784000,1583312610860795000
b'4095\r\n',1583312610860810000,1583312611860711000
b'4095\r\n',1583312611860725000,1583312612860427000
b'4095\r\n',1583312612860436000,1583312613860728000
b'4095\r\n',1583312613860741000,1583312614860694000
b'4095\r\n',1583312614860707000,1583312615860807000
b'4095\r\n',1583312615860822000,1583312616860723000
b'4095\r\n',1583312616860737000,1583312617860443000
b'4095\r\n',1583312617860452000,1583312618860869000
b'4095\r\n',1583312618860883000,1583312619860810000
b'4095\r\n',1583312619860825000,1583312620856898000
b'4095\r\n',1583312620856912000,1583312621860719000
b'4095\r\n',1583312621860733000,1583312622860901000
b'4095\r\n',1583312622860915000,1583312623860650000
b'4095\r\n',1583312623860664000,1583312624860881000
b'4095\r\n',1583312624860894000,1583312625860835000
b'4095\r\n',1583312625860848000,1583312626860856000
b'4095\r\n',1583312626860870000,1583312627860872000
b'4095\r\n',1583312627860886000,1583312628860829000
b'4095\r\n',1583312628860843000,1583312629860909000
b'4095\r\n',1583312629860923000,1583312630860870000
b'4095\r\n',1583312630860885000,1583312631860867000
b'4095\r\n',1583312631860881000,1583312632860939000
b'4095\r\n',1583312632860952000,1583312633860826000
b'4095\r\n',1583312633860841000,1583312634860946000
b'4095\r\n',1583312634860960000,1583312635860860000
b'4095\r\n',1583312635860874000,1583312636860946000
b'4095\r\n',1583312636860960000,1583312637860859000
b'4095\r\n',1583312637860873000,1583312638860956000
b'4095\r\n',1583312638860969000,1583312639860944000
b'4095\r\n',1583312639860958000,1583312640860912000
b'4095\r\n',1583312640860926000,1583312641860795000
b'4095\r\n',1583312641860809000,1583312642860948000
b'4095\r\n',1583312642860962000,1583312643860889000
b'4095\r\n',1583312643860903000,1583312644860938000
b'4095\r\n',1583312644860951000,1583312645860962000
b'4095\r\n',1583312645860977000,1583312646860990000
b'4095\r\n',1583312646861004000,1583312647860963000
b'4095\r\n',1583312647860977000,1583312648860897000
b'4095\r\n',1583312648860911000,1583312649860986000
b'4095\r\n',1583312649861000000,1583312650860972000
b'4095\r\n',1583312650860986000,1583312651861261000
b'4095\r\n',1583312651861289000,1583312652856986000
b'4095\r\n',1583312652857000000,1583312653860784000
b'4095\r\n',1583312653860802000,1583312654860962000
b'4095\r\n',1583312654860977000,1583312655861008000
