Before_send,After_send,Message,msg,before,after,Diff
1582879192,1582879192,1,1,1582879191,1582879192,0.095789909
1582879193,1582879193,0,0,1582879192,1582879193,0.064319849
1582879194,1582879194,1,1,1582879193,1582879194,0.077009916
1582879195,1582879195,0,0,1582879194,1582879195,0.062590122
1582879196,1582879196,1,1,1582879195,1582879196,0.081830025
1582879197,1582879197,0,0,1582879196,1582879197,0.064440012
1582879198,1582879198,1,1,1582879197,1582879198,0.065160036
1582879199,1582879199,0,0,1582879198,1582879199,0.051120043
1582879200,1582879200,1,1,1582879199,1582879201,0.069809914
1582879201,1582879201,0,0,1582879201,1582879201,0.049240112
1582879202,1582879202,1,1,1582879201,1582879203,0.080359936
1582879203,1582879203,0,0,1582879203,1582879204,0.095989943
1582879204,1582879204,1,1,1582879204,1582879205,0.058140039
1582879205,1582879205,0,0,1582879205,1582879206,0.082530022
1582879206,1582879206,1,1,1582879206,1582879207,0.049040079
1582879207,1582879207,0,0,1582879207,1582879208,0.08205986
1582879208,1582879208,1,1,1582879208,1582879209,0.060829878
1582879209,1582879209,0,0,1582879209,1582879210,0.076159954
1582879210,1582879210,1,1,1582879210,1582879211,0.097630024
1582879212,1582879212,0,0,1582879211,1582879212,0.065950155
1582879213,1582879213,1,1,1582879212,1582879213,0.079809904
1582879214,1582879214,0,0,1582879213,1582879214,0.04885006
1582879215,1582879215,1,1,1582879214,1582879215,0.064239979
1582879216,1582879216,0,0,1582879215,1582879216,0.080080032
1582879217,1582879217,1,1,1582879216,1582879217,0.051939964
1582879218,1582879218,0,0,1582879217,1582879218,0.066300154
1582879219,1582879219,1,1,1582879218,1582879219,0.050979853
1582879220,1582879220,0,0,1582879219,1582879220,0.077759981
1582879221,1582879221,1,1,1582879220,1582879221,0.098200083
1582879222,1582879222,0,0,1582879221,1582879222,0.057630062
1582879223,1582879223,1,1,1582879222,1582879223,0.064680099
1582879224,1582879224,0,0,1582879223,1582879224,0.095999956
1582879225,1582879225,1,1,1582879224,1582879225,0.048829794
1582879226,1582879226,0,0,1582879225,1582879226,0.080049992
1582879227,1582879227,1,1,1582879226,1582879227,0.055700064
1582879228,1582879228,0,0,1582879227,1582879228,0.079519987
1582879229,1582879229,1,1,1582879228,1582879229,0.095540047
1582879230,1582879230,0,0,1582879229,1582879230,0.065279961
1582879231,1582879231,1,1,1582879230,1582879231,0.087349892
1582879232,1582879232,0,0,1582879231,1582879232,0.103360176
1582879233,1582879233,1,1,1582879232,1582879233,0.062409878
1582879234,1582879234,0,0,1582879233,1582879234,0.080380201
1582879235,1582879235,1,1,1582879234,1582879235,0.062509775
1582879236,1582879236,0,0,1582879235,1582879236,0.080369949
1582879237,1582879237,1,1,1582879236,1582879237,0.087739944
1582879238,1582879238,0,0,1582879237,1582879238,0.064870119
1582879239,1582879239,1,1,1582879238,1582879239,0.098940134
1582879240,1582879240,0,0,1582879239,1582879240,0.06704998
1582879241,1582879241,1,1,1582879240,1582879241,0.070039988
1582879242,1582879242,0,0,1582879241,1582879242,0.056479931
1582879243,1582879243,1,1,1582879242,1582879243,0.06483984
1582879244,1582879244,0,0,1582879243,1582879244,0.097020149
1582879245,1582879245,1,1,1582879244,1582879245,0.048229933
1582879246,1582879246,0,0,1582879245,1582879246,0.082520008
1582879247,1582879247,1,1,1582879246,1582879247,0.057229996
1582879248,1582879248,0,0,1582879247,1582879248,0.066820145
1582879249,1582879249,1,1,1582879248,1582879249,0.097499847
1582879250,1582879250,0,0,1582879249,1582879250,0.067660093
1582879251,1582879251,1,1,1582879250,1582879251,0.098309994
1582879252,1582879252,0,0,1582879251,1582879252,0.064690113
1582879253,1582879253,1,1,1582879252,1582879253,0.080410004
1582879254,1582879254,0,0,1582879253,1582879254,0.09540987
1582879255,1582879255,1,1,1582879254,1582879255,0.064640045
1582879256,1582879256,0,0,1582879255,1582879256,0.082629919
1582879257,1582879257,1,1,1582879256,1582879257,0.049030066
1582879258,1582879258,0,0,1582879257,1582879258,0.082000017
1582879259,1582879259,1,1,1582879258,1582879259,0.081660032
1582879260,1582879260,0,0,1582879259,1582879260,0.069740057
1582879261,1582879261,1,1,1582879260,1582879261,0.092669964
1582879262,1582879262,0,0,1582879261,1582879262,0.064059973
1582879263,1582879263,1,1,1582879262,1582879263,0.080300093
1582879264,1582879264,0,0,1582879263,1582879264,0.096060038
1582879265,1582879265,1,1,1582879264,1582879265,0.064960003
1582879266,1582879266,0,0,1582879265,1582879266,0.080469847
1582879267,1582879267,1,1,1582879266,1582879267,0.066939831
1582879268,1582879268,0,0,1582879267,1582879268,0.096669912
1582879269,1582879269,1,1,1582879268,1582879269,0.067970037
1582879270,1582879270,0,0,1582879269,1582879270,0.091599941
1582879271,1582879271,1,1,1582879270,1582879271,0.078079939
1582879272,1582879272,0,0,1582879271,1582879272,0.087970018
1582879273,1582879273,1,1,1582879272,1582879273,0.064659834
1582879274,1582879274,0,0,1582879273,1582879274,0.080529928
1582879275,1582879275,1,1,1582879274,1582879275,0.049119949
1582879276,1582879276,0,0,1582879275,1582879276,0.080159903
1582879277,1582879277,1,1,1582879276,1582879277,0.049240112
1582879278,1582879278,0,0,1582879277,1582879278,0.078119993
1582879279,1582879279,1,1,1582879278,1582879279,0.049950123
1582879280,1582879280,0,0,1582879279,1582879280,0.077419996
1582879281,1582879281,1,1,1582879280,1582879281,0.091239929
1582879282,1582879282,0,0,1582879281,1582879282,0.064800024
1582879283,1582879283,1,1,1582879282,1582879283,0.080549955
1582879284,1582879284,0,0,1582879283,1582879284,0.049129963
1582879285,1582879285,1,1,1582879284,1582879285,0.077669859
1582879286,1582879286,0,0,1582879285,1582879286,0.093909979
1582879287,1582879287,1,1,1582879286,1582879287,0.049249887
1582879288,1582879288,0,0,1582879287,1582879288,0.081870079
1582879289,1582879289,1,1,1582879288,1582879289,0.095590115
1582879290,1582879290,0,0,1582879289,1582879290,0.065540075
1582879291,1582879291,1,1,1582879290,1582879291,0.093709946
1582879292,1582879292,0,0,1582879291,1582879292,0.073169947
1582879293,1582879293,1,1,1582879292,1582879293,0.087380171
1582879294,1582879294,0,0,1582879293,1582879294,0.050679922
1582879295,1582879295,1,1,1582879294,1582879295,0.080379963
1582879296,1582879296,0,0,1582879295,1582879296,0.099679947
1582879297,1582879297,1,1,1582879296,1582879297,0.065290213
1582879298,1582879298,0,0,1582879297,1582879298,0.080260038
