Before_send,After_send,Message
Before_send,After_send,Message
1582727608.255448,1582727608.255448,0,
1582727609.2554493,1582727609.2554493,1,
1582727610.270875,1582727610.270875,0,
1582727611.2865016,1582727611.2865016,1,
1582727612.286507,1582727612.286507,0,
1582727613.2865076,1582727613.2865076,1,
1582727614.302336,1582727614.302336,0,
1582727615.3023448,1582727615.3023448,1,
1582727616.3035002,1582727616.3035002,0,
1582727617.3036575,1582727617.3036575,1,
1582727618.303688,1582727618.303688,0,
1582727619.3036933,1582727619.3036933,1,
1582727620.3036945,1582727620.3036945,0,
1582727621.3169045,1582727621.3169045,1,
1582727622.3169067,1582727622.3169067,0,
1582727623.3325236,1582727623.3325236,1,
1582727624.3325276,1582727624.3325276,0,
1582727625.3385835,1582727625.3385835,1,
1582727626.338588,1582727626.338588,0,
1582727627.3386059,1582727627.3386059,1,
1582727628.3386507,1582727628.3386507,0,
1582727629.3388677,1582727629.3388677,1,
1582727630.33887,1582727630.33887,0,
1582727631.33887,1582727631.33887,1,
1582727632.3544888,1582727632.3544888,0,
1582727633.370119,1582727633.370119,1,
1582727634.3701243,1582727634.3701243,0,
1582727635.3857312,1582727635.3857312,1,
1582727636.3857327,1582727636.3857327,0,
1582727637.3866844,1582727637.3866844,1,
1582727638.3866904,1582727638.3866904,0,
1582727639.3866909,1582727639.3866909,1,
1582727640.3866918,1582727640.3866918,0,
1582727641.402308,1582727641.402308,1,
1582727642.4179182,1582727642.4179182,0,
1582727643.4179993,1582727643.4179993,1,
1582727644.4333382,1582727644.4333382,0,
1582727645.4335234,1582727645.4335234,1,
1582727646.4335337,1582727646.4335337,0,
1582727647.4489665,1582727647.4489665,1,
1582727648.448968,1582727648.448968,0,
1582727649.4489686,1582727649.4489686,1,
1582727650.464757,1582727650.464757,0,
1582727651.4804382,1582727651.4804382,1,
1582727652.4960804,1582727652.4960804,0,
1582727653.5117834,1582727653.5117834,1,
1582727654.5270922,1582727654.5270922,0,
1582727655.5273073,1582727655.5273073,1,
1582727656.5429423,1582727656.5429423,0,
1582727657.5451303,1582727657.5451303,1,
1582727658.5607522,1582727658.5607522,0,
1582727659.5607603,1582727659.5607603,1,
1582727660.5610363,1582727660.5610363,0,
1582727661.576662,1582727661.576662,1,
1582727662.592284,1582727662.592284,0,
1582727663.6076932,1582727663.6076932,1,
1582727664.607903,1582727664.607903,0,
1582727665.60791,1582727665.60791,1,
1582727666.6079113,1582727666.6079113,0,
1582727667.6085515,1582727667.6085515,1,
1582727668.6085734,1582727668.6085734,0,
1582727669.6088223,1582727669.6088223,1,
1582727670.6088295,1582727670.6088295,0,
1582727671.6244376,1582727671.6244376,1,
1582727672.6244411,1582727672.6244411,0,
1582727673.624442,1582727673.624442,1,
1582727674.624445,1582727674.624445,0,
1582727675.6400738,1582727675.6400738,1,
1582727676.6509476,1582727676.6509476,0,
1582727677.6616006,1582727677.6616006,1,
1582727678.6774352,1582727678.6774352,0,
1582727679.6776874,1582727679.6776874,1,
1582727680.6777,1582727680.6777,0,
1582727681.681593,1582727681.681593,1,
1582727682.6815941,1582727682.6815941,0,
1582727683.6972187,1582727683.6972187,1,
1582727684.7128205,1582727684.7128205,0,
1582727685.7252815,1582727685.7252815,1,
1582727686.7409089,1582727686.7409089,0,
1582727687.7411387,1582727687.7411387,1,
1582727688.7411513,1582727688.7411513,0,
1582727689.7567518,1582727689.7567518,1,
1582727690.756758,1582727690.756758,0,
1582727691.7723799,1582727691.7723799,1,
1582727692.772383,1582727692.772383,0,
1582727693.773973,1582727693.774331,1,
1582727694.7768357,1582727694.7768357,0,
1582727695.7769933,1582727695.7769933,1,
1582727696.7770295,1582727696.7770295,0,
1582727697.7910883,1582727697.7910883,1,
1582727698.7914584,1582727698.7914584,0,
1582727699.8070364,1582727699.8070364,1,
1582727700.8070412,1582727700.8070412,0,
